"","subject","activity","measurement","average"
"107",1,"walking upstairs","tBodyGyroJerk-std()-X",-0.614786508490566
"108",1,"walking upstairs","tBodyGyroJerk-std()-Y",-0.601696656226415
"109",1,"walking upstairs","tBodyGyroJerk-std()-Z",-0.606332002264151
"110",1,"walking upstairs","tBodyAccMag-mean()",-0.129927630735849
"111",1,"walking upstairs","tBodyAccMag-std()",-0.324970929245283
"112",1,"walking upstairs","tGravityAccMag-mean()",-0.129927630735849
"113",1,"walking upstairs","tGravityAccMag-std()",-0.324970929245283
"114",1,"walking upstairs","tBodyAccJerkMag-mean()",-0.466503446226415
"115",1,"walking upstairs","tBodyAccJerkMag-std()",-0.478991622075472
"116",1,"walking upstairs","tBodyGyroMag-mean()",-0.126735589969811
"117",1,"walking upstairs","tBodyGyroMag-std()",-0.14861931805283
"118",1,"walking upstairs","tBodyGyroJerkMag-mean()",-0.59488286509434
"119",1,"walking upstairs","tBodyGyroJerkMag-std()",-0.648553044339623
"120",1,"walking upstairs","fBodyAcc-mean()-X",-0.404321784150943
"121",1,"walking upstairs","fBodyAcc-mean()-Y",-0.190976720811321
"122",1,"walking upstairs","fBodyAcc-mean()-Z",-0.433349702075472
"123",1,"walking upstairs","fBodyAcc-std()-X",-0.337428188679245
"124",1,"walking upstairs","fBodyAcc-std()-Y",0.0217695106566038
"125",1,"walking upstairs","fBodyAcc-std()-Z",0.0859565543849057
"126",1,"walking upstairs","fBodyAcc-meanFreq()-X",-0.418735000377359
"127",1,"walking upstairs","fBodyAcc-meanFreq()-Y",-0.160697213516981
"128",1,"walking upstairs","fBodyAcc-meanFreq()-Z",-0.520114793584906
"129",1,"walking upstairs","fBodyAccJerk-mean()-X",-0.479875245660377
"130",1,"walking upstairs","fBodyAccJerk-mean()-Y",-0.41344458754717
"131",1,"walking upstairs","fBodyAccJerk-mean()-Z",-0.685474353962264
"132",1,"walking upstairs","fBodyAccJerk-std()-X",-0.461907025849057
"133",1,"walking upstairs","fBodyAccJerk-std()-Y",-0.381777065283019
"134",1,"walking upstairs","fBodyAccJerk-std()-Z",-0.726040200754717
"135",1,"walking upstairs","fBodyAccJerk-meanFreq()-X",-0.377023128301887
"136",1,"walking upstairs","fBodyAccJerk-meanFreq()-Y",-0.509495531698113
"137",1,"walking upstairs","fBodyAccJerk-meanFreq()-Z",-0.551104284150943
"138",1,"walking upstairs","fBodyGyro-mean()-X",-0.492611667924528
"139",1,"walking upstairs","fBodyGyro-mean()-Y",-0.319474609056604
"140",1,"walking upstairs","fBodyGyro-mean()-Z",-0.453597213018868
"141",1,"walking upstairs","fBodyGyro-std()-X",-0.565892490754717
"142",1,"walking upstairs","fBodyGyro-std()-Y",0.151538905566038
"143",1,"walking upstairs","fBodyGyro-std()-Z",-0.57170784
"144",1,"walking upstairs","fBodyGyro-meanFreq()-X",-0.187450247737736
"145",1,"walking upstairs","fBodyGyro-meanFreq()-Y",-0.473574786603774
"146",1,"walking upstairs","fBodyGyro-meanFreq()-Z",-0.133373904258491
"147",1,"walking upstairs","fBodyAccMag-mean()",-0.352395944716981
"148",1,"walking upstairs","fBodyAccMag-std()",-0.416260101509434
"149",1,"walking upstairs","fBodyAccMag-meanFreq()",-0.0977433496415094
"150",1,"walking upstairs","fBodyBodyAccJerkMag-mean()",-0.44265216245283
"151",1,"walking upstairs","fBodyBodyAccJerkMag-std()",-0.533059853773585
"152",1,"walking upstairs","fBodyBodyAccJerkMag-meanFreq()",0.085352409154717
"153",1,"walking upstairs","fBodyBodyGyroMag-mean()",-0.325961457396226
"154",1,"walking upstairs","fBodyBodyGyroMag-std()",-0.182985518264151
"155",1,"walking upstairs","fBodyBodyGyroMag-meanFreq()",-0.219303376110566
"156",1,"walking upstairs","fBodyBodyGyroJerkMag-mean()",-0.634665082075472
"157",1,"walking upstairs","fBodyBodyGyroJerkMag-std()",-0.693930521509434
"158",1,"walking upstairs","fBodyBodyGyroJerkMag-meanFreq()",0.114277342454717
"159",1,"walking downstairs","tBodyAcc-mean()-X",0.289188320408163
"160",1,"walking downstairs","tBodyAcc-mean()-Y",-0.00991850461020408
"161",1,"walking downstairs","tBodyAcc-mean()-Z",-0.107566190908163
"162",1,"walking downstairs","tBodyAcc-std()-X",0.0300353383483878
"163",1,"walking downstairs","tBodyAcc-std()-Y",-0.0319359434489796
"164",1,"walking downstairs","tBodyAcc-std()-Z",-0.230434213204082
"165",1,"walking downstairs","tGravityAcc-mean()-X",0.931874418979592
"166",1,"walking downstairs","tGravityAcc-mean()-Y",-0.266610338979592
"167",1,"walking downstairs","tGravityAcc-mean()-Z",-0.0621199585938775
"168",1,"walking downstairs","tGravityAcc-std()-X",-0.950559811632653
"169",1,"walking downstairs","tGravityAcc-std()-Y",-0.937018658979592
"170",1,"walking downstairs","tGravityAcc-std()-Z",-0.895939695102041
"171",1,"walking downstairs","tBodyAccJerk-mean()-X",0.0541553164897959
"172",1,"walking downstairs","tBodyAccJerk-mean()-Y",0.0296504490408163
"173",1,"walking downstairs","tBodyAccJerk-mean()-Z",-0.0109719730183673
"174",1,"walking downstairs","tBodyAccJerk-std()-X",-0.012283860544898
"175",1,"walking downstairs","tBodyAccJerk-std()-Y",-0.101601390640816
"176",1,"walking downstairs","tBodyAccJerk-std()-Z",-0.345735032326531
"177",1,"walking downstairs","tBodyGyro-mean()-X",-0.0350781902989796
"178",1,"walking downstairs","tBodyGyro-mean()-Y",-0.0909371290204082
"179",1,"walking downstairs","tBodyGyro-mean()-Z",0.0900850142030612
"180",1,"walking downstairs","tBodyGyro-std()-X",-0.458030542938775
"181",1,"walking downstairs","tBodyGyro-std()-Y",-0.126349194938775
"182",1,"walking downstairs","tBodyGyro-std()-Z",-0.124702454242857
"183",1,"walking downstairs","tBodyGyroJerk-mean()-X",-0.0739592036271429
"184",1,"walking downstairs","tBodyGyroJerk-mean()-Y",-0.0439902783367347
"185",1,"walking downstairs","tBodyGyroJerk-mean()-Z",-0.0270461061061224
"186",1,"walking downstairs","tBodyGyroJerk-std()-X",-0.487027342244898
"187",1,"walking downstairs","tBodyGyroJerk-std()-Y",-0.238824827530612
"188",1,"walking downstairs","tBodyGyroJerk-std()-Z",-0.268761480242857
"189",1,"walking downstairs","tBodyAccMag-mean()",0.0271882914106122
"190",1,"walking downstairs","tBodyAccMag-std()",0.0198843506265306
"191",1,"walking downstairs","tGravityAccMag-mean()",0.0271882914106122
"192",1,"walking downstairs","tGravityAccMag-std()",0.0198843506265306
"193",1,"walking downstairs","tBodyAccJerkMag-mean()",-0.0894474807979592
"194",1,"walking downstairs","tBodyAccJerkMag-std()",-0.0257877197081633
"195",1,"walking downstairs","tBodyGyroMag-mean()",-0.0757412543673469
"196",1,"walking downstairs","tBodyGyroMag-std()",-0.225724368061224
"197",1,"walking downstairs","tBodyGyroJerkMag-mean()",-0.295463843346939
"198",1,"walking downstairs","tBodyGyroJerkMag-std()",-0.306510645530612
"199",1,"walking downstairs","fBodyAcc-mean()-X",0.0382291831510204
"200",1,"walking downstairs","fBodyAcc-mean()-Y",0.00154990783591837
"201",1,"walking downstairs","fBodyAcc-mean()-Z",-0.225574471693878
"202",1,"walking downstairs","fBodyAcc-std()-X",0.0243308391387755
"203",1,"walking downstairs","fBodyAcc-std()-Y",-0.112963739953061
"204",1,"walking downstairs","fBodyAcc-std()-Z",-0.297927894693878
"205",1,"walking downstairs","fBodyAcc-meanFreq()-X",-0.307395198687755
"206",1,"walking downstairs","fBodyAcc-meanFreq()-Y",0.0632200839346939
"207",1,"walking downstairs","fBodyAcc-meanFreq()-Z",0.294322700810612
"208",1,"walking downstairs","fBodyAccJerk-mean()-X",-0.0276638676122449
"209",1,"walking downstairs","fBodyAccJerk-mean()-Y",-0.12866715764898
"210",1,"walking downstairs","fBodyAccJerk-mean()-Z",-0.288334735714286
"211",1,"walking downstairs","fBodyAccJerk-std()-X",-0.0863278966402041
"212",1,"walking downstairs","fBodyAccJerk-std()-Y",-0.134580008877551
"213",1,"walking downstairs","fBodyAccJerk-std()-Z",-0.401721464285714
"214",1,"walking downstairs","fBodyAccJerk-meanFreq()-X",-0.253164344918367
"215",1,"walking downstairs","fBodyAccJerk-meanFreq()-Y",-0.33758970122449
"216",1,"walking downstairs","fBodyAccJerk-meanFreq()-Z",0.00937223889183673
"217",1,"walking downstairs","fBodyGyro-mean()-X",-0.352449631363265
"218",1,"walking downstairs","fBodyGyro-mean()-Y",-0.0557022524693878
"219",1,"walking downstairs","fBodyGyro-mean()-Z",-0.0318694271979592
"220",1,"walking downstairs","fBodyGyro-std()-X",-0.495422486102041
"221",1,"walking downstairs","fBodyGyro-std()-Y",-0.181414728657143
"222",1,"walking downstairs","fBodyGyro-std()-Z",-0.238443565306122
"223",1,"walking downstairs","fBodyGyro-meanFreq()-X",-0.100453729040816
"224",1,"walking downstairs","fBodyGyro-meanFreq()-Y",0.0825511487183673
"225",1,"walking downstairs","fBodyGyro-meanFreq()-Z",-0.0756762067714286
"226",1,"walking downstairs","fBodyAccMag-mean()",0.0965845343040816
"227",1,"walking downstairs","fBodyAccMag-std()",-0.186530301073469
"228",1,"walking downstairs","fBodyAccMag-meanFreq()",0.119187142767959
"229",1,"walking downstairs","fBodyBodyAccJerkMag-mean()",0.0262184949326531
"230",1,"walking downstairs","fBodyBodyAccJerkMag-std()",-0.104052260726531
"231",1,"walking downstairs","fBodyBodyAccJerkMag-meanFreq()",0.0764915474326531
"232",1,"walking downstairs","fBodyBodyGyroMag-mean()",-0.185720285744898
"233",1,"walking downstairs","fBodyBodyGyroMag-std()",-0.398350390122449
"234",1,"walking downstairs","fBodyBodyGyroMag-meanFreq()",0.349613895469388
"235",1,"walking downstairs","fBodyBodyGyroJerkMag-mean()",-0.281963359177551
"236",1,"walking downstairs","fBodyBodyGyroJerkMag-std()",-0.391919876612245
"237",1,"walking downstairs","fBodyBodyGyroJerkMag-meanFreq()",0.190000706165102
"238",1,"sitting","tBodyAcc-mean()-X",0.261237565425532
"239",1,"sitting","tBodyAcc-mean()-Y",-0.00130828765170213
"240",1,"sitting","tBodyAcc-mean()-Z",-0.104544182255319
"241",1,"sitting","tBodyAcc-std()-X",-0.977229008297872
"242",1,"sitting","tBodyAcc-std()-Y",-0.922618641914894
"243",1,"sitting","tBodyAcc-std()-Z",-0.93958629106383
"244",1,"sitting","tGravityAcc-mean()-X",0.831509933404255
"245",1,"sitting","tGravityAcc-mean()-Y",0.204411592680851
"246",1,"sitting","tGravityAcc-mean()-Z",0.332043702765957
"247",1,"sitting","tGravityAcc-std()-X",-0.968457145744681
"248",1,"sitting","tGravityAcc-std()-Y",-0.935517055957447
"249",1,"sitting","tGravityAcc-std()-Z",-0.949040933191489
"250",1,"sitting","tBodyAccJerk-mean()-X",0.0774825199574468
"251",1,"sitting","tBodyAccJerk-mean()-Y",-0.000619102785106384
"252",1,"sitting","tBodyAccJerk-mean()-Z",-0.00336779235021277
"253",1,"sitting","tBodyAccJerk-std()-X",-0.986430711276596
"254",1,"sitting","tBodyAccJerk-std()-Y",-0.981371965319149
"255",1,"sitting","tBodyAccJerk-std()-Z",-0.987910804468085
"256",1,"sitting","tBodyGyro-mean()-X",-0.045350056512766
"257",1,"sitting","tBodyGyro-mean()-Y",-0.0919241549361702
"258",1,"sitting","tBodyGyro-mean()-Z",0.0629313811914894
"259",1,"sitting","tBodyGyro-std()-X",-0.977211283191489
"260",1,"sitting","tBodyGyro-std()-Y",-0.966473895319149
"261",1,"sitting","tBodyGyro-std()-Z",-0.941425920851064
"262",1,"sitting","tBodyGyroJerk-mean()-X",-0.0936793807234043
"263",1,"sitting","tBodyGyroJerk-mean()-Y",-0.0402118124255319
"264",1,"sitting","tBodyGyroJerk-mean()-Z",-0.046702627
"265",1,"sitting","tBodyGyroJerk-std()-X",-0.99173159212766
"266",1,"sitting","tBodyGyroJerk-std()-Y",-0.989518068510638
"267",1,"sitting","tBodyGyroJerk-std()-Z",-0.987935806382979
"268",1,"sitting","tBodyAccMag-mean()",-0.948536786170213
"269",1,"sitting","tBodyAccMag-std()",-0.927078418723404
"270",1,"sitting","tGravityAccMag-mean()",-0.948536786170213
"271",1,"sitting","tGravityAccMag-std()",-0.927078418723404
"272",1,"sitting","tBodyAccJerkMag-mean()",-0.987364195531915
"273",1,"sitting","tBodyAccJerkMag-std()",-0.984120024042553
"274",1,"sitting","tBodyGyroMag-mean()",-0.93089249
"275",1,"sitting","tBodyGyroMag-std()",-0.934531840425532
"276",1,"sitting","tBodyGyroJerkMag-mean()",-0.991976341276596
"277",1,"sitting","tBodyGyroJerkMag-std()",-0.988308728510638
"278",1,"sitting","fBodyAcc-mean()-X",-0.979641238723404
"279",1,"sitting","fBodyAcc-mean()-Y",-0.944084550425532
"280",1,"sitting","fBodyAcc-mean()-Z",-0.959184889148936
"281",1,"sitting","fBodyAcc-std()-X",-0.976412313191489
"282",1,"sitting","fBodyAcc-std()-Y",-0.917275006382979
"283",1,"sitting","fBodyAcc-std()-Z",-0.934469558085106
"284",1,"sitting","fBodyAcc-meanFreq()-X",-0.0495135975489362
"285",1,"sitting","fBodyAcc-meanFreq()-Y",0.0759460768510638
"286",1,"sitting","fBodyAcc-meanFreq()-Z",0.238829870148936
"287",1,"sitting","fBodyAccJerk-mean()-X",-0.986597022553191
"288",1,"sitting","fBodyAccJerk-mean()-Y",-0.981579467021277
"289",1,"sitting","fBodyAccJerk-mean()-Z",-0.986053092340425
"290",1,"sitting","fBodyAccJerk-std()-X",-0.987492994468085
"291",1,"sitting","fBodyAccJerk-std()-Y",-0.982513909574468
"292",1,"sitting","fBodyAccJerk-std()-Z",-0.988339184893617
"293",1,"sitting","fBodyAccJerk-meanFreq()-X",0.256610823568085
"294",1,"sitting","fBodyAccJerk-meanFreq()-Y",0.0475437839595745
"295",1,"sitting","fBodyAccJerk-meanFreq()-Z",0.0923920032553192
"296",1,"sitting","fBodyGyro-mean()-X",-0.976161464042553
"297",1,"sitting","fBodyGyro-mean()-Y",-0.975838585319149
"298",1,"sitting","fBodyGyro-mean()-Z",-0.951315544468085
"299",1,"sitting","fBodyGyro-std()-X",-0.977904227021277
"300",1,"sitting","fBodyGyro-std()-Y",-0.962345042553192
"301",1,"sitting","fBodyGyro-std()-Z",-0.94391784106383
"302",1,"sitting","fBodyGyro-meanFreq()-X",0.189153021260851
"303",1,"sitting","fBodyGyro-meanFreq()-Y",0.0631270669787234
"304",1,"sitting","fBodyGyro-meanFreq()-Z",-0.0297839207446809
"305",1,"sitting","fBodyAccMag-mean()",-0.947782922553192
"306",1,"sitting","fBodyAccMag-std()",-0.928444801702128
"307",1,"sitting","fBodyAccMag-meanFreq()",0.236655011680851
"308",1,"sitting","fBodyBodyAccJerkMag-mean()",-0.985262126808511
"309",1,"sitting","fBodyBodyAccJerkMag-std()",-0.981606177446808
"310",1,"sitting","fBodyBodyAccJerkMag-meanFreq()",0.351852201957447
"311",1,"sitting","fBodyBodyGyroMag-mean()",-0.958435589361702
"312",1,"sitting","fBodyBodyGyroMag-std()",-0.932198374893617
"313",1,"sitting","fBodyBodyGyroMag-meanFreq()",-0.000262186717021277
"314",1,"sitting","fBodyBodyGyroJerkMag-mean()",-0.989797547234043
"315",1,"sitting","fBodyBodyGyroJerkMag-std()",-0.987049617234043
"316",1,"sitting","fBodyBodyGyroJerkMag-meanFreq()",0.184775928085106
"317",1,"standing","tBodyAcc-mean()-X",0.278917629056604
"318",1,"standing","tBodyAcc-mean()-Y",-0.0161375901037736
"319",1,"standing","tBodyAcc-mean()-Z",-0.110601817735849
"320",1,"standing","tBodyAcc-std()-X",-0.995759901509434
"321",1,"standing","tBodyAcc-std()-Y",-0.973190056415094
"322",1,"standing","tBodyAcc-std()-Z",-0.979775876981132
"323",1,"standing","tGravityAcc-mean()-X",0.942952000377358
"324",1,"standing","tGravityAcc-mean()-Y",-0.272983832264151
"325",1,"standing","tGravityAcc-mean()-Z",0.0134905823226415
"326",1,"standing","tGravityAcc-std()-X",-0.99376298509434
"327",1,"standing","tGravityAcc-std()-Y",-0.981225957924528
"328",1,"standing","tGravityAcc-std()-Z",-0.976324063584906
"329",1,"standing","tBodyAccJerk-mean()-X",0.0753766542264151
"330",1,"standing","tBodyAccJerk-mean()-Y",0.00797573092830189
"331",1,"standing","tBodyAccJerk-mean()-Z",-0.00368524954709434
"332",1,"standing","tBodyAccJerk-std()-X",-0.994604542264151
"333",1,"standing","tBodyAccJerk-std()-Y",-0.98564873245283
"334",1,"standing","tBodyAccJerk-std()-Z",-0.992251177358491
"335",1,"standing","tBodyGyro-mean()-X",-0.0239877347979245
"336",1,"standing","tBodyGyro-mean()-Y",-0.0593972209811321
"337",1,"standing","tBodyGyro-mean()-Z",0.074800751
"338",1,"standing","tBodyGyro-std()-X",-0.987191946603774
"339",1,"standing","tBodyGyro-std()-Y",-0.98773444
"340",1,"standing","tBodyGyro-std()-Z",-0.980645626981132
"341",1,"standing","tBodyGyroJerk-mean()-X",-0.0996092129056604
"342",1,"standing","tBodyGyroJerk-mean()-Y",-0.0440627877924528
"343",1,"standing","tBodyGyroJerk-mean()-Z",-0.0489505466716981
"344",1,"standing","tBodyGyroJerk-std()-X",-0.992945106981132
"345",1,"standing","tBodyGyroJerk-std()-Y",-0.995137917358491
"346",1,"standing","tBodyGyroJerk-std()-Z",-0.992108467169811
"347",1,"standing","tBodyAccMag-mean()",-0.984278207358491
"348",1,"standing","tBodyAccMag-std()",-0.981942928867925
"349",1,"standing","tGravityAccMag-mean()",-0.984278207358491
"350",1,"standing","tGravityAccMag-std()",-0.981942928867925
"351",1,"standing","tBodyAccJerkMag-mean()",-0.992367790566038
"352",1,"standing","tBodyAccJerkMag-std()",-0.993096209433962
"353",1,"standing","tBodyGyroMag-mean()",-0.976493792830189
"354",1,"standing","tBodyGyroMag-std()",-0.978690028679245
"355",1,"standing","tBodyGyroJerkMag-mean()",-0.994966790566038
"356",1,"standing","tBodyGyroJerkMag-std()",-0.994733238679245
"357",1,"standing","fBodyAcc-mean()-X",-0.995249932641509
"358",1,"standing","fBodyAcc-mean()-Y",-0.977070847735849
"359",1,"standing","fBodyAcc-mean()-Z",-0.985297098679245
"360",1,"standing","fBodyAcc-std()-X",-0.99602834509434
"361",1,"standing","fBodyAcc-std()-Y",-0.972293102075472
"362",1,"standing","fBodyAcc-std()-Z",-0.977937259622642
"363",1,"standing","fBodyAcc-meanFreq()-X",0.0865153619088679
"364",1,"standing","fBodyAcc-meanFreq()-Y",0.117478948718868
"365",1,"standing","fBodyAcc-meanFreq()-Z",0.244858585792453
"366",1,"standing","fBodyAccJerk-mean()-X",-0.994630797358491
"367",1,"standing","fBodyAccJerk-mean()-Y",-0.985418704528302
"368",1,"standing","fBodyAccJerk-mean()-Z",-0.990752166037736
"369",1,"standing","fBodyAccJerk-std()-X",-0.995073759245283
"370",1,"standing","fBodyAccJerk-std()-Y",-0.987018226792453
"371",1,"standing","fBodyAccJerk-std()-Z",-0.992349818113208
"372",1,"standing","fBodyAccJerk-meanFreq()-X",0.314182940150943
"373",1,"standing","fBodyAccJerk-meanFreq()-Y",0.0391618954943396
"374",1,"standing","fBodyAccJerk-meanFreq()-Z",0.138581478749057
"375",1,"standing","fBodyGyro-mean()-X",-0.986386786037736
"376",1,"standing","fBodyGyro-mean()-Y",-0.988984455849057
"377",1,"standing","fBodyGyro-mean()-Z",-0.980773122830189
"378",1,"standing","fBodyGyro-std()-X",-0.987497128679245
"379",1,"standing","fBodyGyro-std()-Y",-0.987107727735849
"380",1,"standing","fBodyGyro-std()-Z",-0.98234533
"381",1,"standing","fBodyGyro-meanFreq()-X",-0.120293020603774
"382",1,"standing","fBodyGyro-meanFreq()-Y",-0.0447191978169811
"383",1,"standing","fBodyGyro-meanFreq()-Z",0.100607635139623
"384",1,"standing","fBodyAccMag-mean()",-0.985356361132075
"385",1,"standing","fBodyAccMag-std()",-0.982313804716981
"386",1,"standing","fBodyAccMag-meanFreq()",0.284555290773585
"387",1,"standing","fBodyBodyAccJerkMag-mean()",-0.99254247754717
"388",1,"standing","fBodyBodyAccJerkMag-std()",-0.992536003396226
"389",1,"standing","fBodyBodyAccJerkMag-meanFreq()",0.422220102264151
"390",1,"standing","fBodyBodyGyroMag-mean()",-0.984617623396226
"391",1,"standing","fBodyBodyGyroMag-std()",-0.978466072075472
"392",1,"standing","fBodyBodyGyroMag-meanFreq()",-0.0286057725328302
"393",1,"standing","fBodyBodyGyroJerkMag-mean()",-0.994815376981132
