"","subject","activity","measurement","value"
"223",2,"laying","tBodyAcc-mean()-X",0.27326045
"224",2,"laying","tBodyAcc-mean()-X",0.27398753
"225",2,"laying","tBodyAcc-mean()-X",0.27585859
"226",2,"laying","tBodyAcc-mean()-X",0.27714817
"227",2,"laying","tBodyAcc-mean()-X",0.27456229
"228",2,"walking","tBodyAcc-mean()-X",0.24860491
"229",2,"walking","tBodyAcc-mean()-X",0.21690075
"230",2,"walking","tBodyAcc-mean()-X",0.26222243
"231",2,"walking","tBodyAcc-mean()-X",0.29659805
"232",2,"walking","tBodyAcc-mean()-X",0.24016527
"233",2,"walking","tBodyAcc-mean()-X",0.31286994
"234",2,"walking","tBodyAcc-mean()-X",0.31649338
"235",2,"walking","tBodyAcc-mean()-X",0.20894174
"236",2,"walking","tBodyAcc-mean()-X",0.27124829
"237",2,"walking","tBodyAcc-mean()-X",0.35341932
"238",2,"walking","tBodyAcc-mean()-X",0.22839376
"239",2,"walking","tBodyAcc-mean()-X",0.21535112
"240",2,"walking","tBodyAcc-mean()-X",0.32555586
"241",2,"walking","tBodyAcc-mean()-X",0.36545296
"242",2,"walking","tBodyAcc-mean()-X",0.26780915
"243",2,"walking","tBodyAcc-mean()-X",0.34002771
"244",2,"walking","tBodyAcc-mean()-X",0.26426913
"245",2,"walking","tBodyAcc-mean()-X",0.26580166
"246",2,"walking","tBodyAcc-mean()-X",0.25477841
"247",2,"walking","tBodyAcc-mean()-X",0.22294492
"248",2,"walking","tBodyAcc-mean()-X",0.37962251
"249",2,"walking","tBodyAcc-mean()-X",0.27911103
"250",2,"walking","tBodyAcc-mean()-X",0.26173982
"251",2,"walking","tBodyAcc-mean()-X",0.32915435
"252",2,"walking","tBodyAcc-mean()-X",0.19549619
"253",2,"walking","tBodyAcc-mean()-X",0.24387
"254",2,"walking","tBodyAcc-mean()-X",0.32955877
"255",2,"walking","tBodyAcc-mean()-X",0.28806864
"256",2,"walking","tBodyAcc-mean()-X",0.24987037
"257",2,"walking downstairs","tBodyAcc-mean()-X",0.31930656
"258",2,"walking downstairs","tBodyAcc-mean()-X",0.12592012
"259",2,"walking downstairs","tBodyAcc-mean()-X",0.29997571
"260",2,"walking downstairs","tBodyAcc-mean()-X",0.26012783
"261",2,"walking downstairs","tBodyAcc-mean()-X",0.2871613
"262",2,"walking downstairs","tBodyAcc-mean()-X",0.32958399
"263",2,"walking downstairs","tBodyAcc-mean()-X",0.25184336
"264",2,"walking downstairs","tBodyAcc-mean()-X",0.24829116
"265",2,"walking downstairs","tBodyAcc-mean()-X",0.26160863
"266",2,"walking downstairs","tBodyAcc-mean()-X",0.29960665
"267",2,"walking downstairs","tBodyAcc-mean()-X",0.25953975
"268",2,"walking downstairs","tBodyAcc-mean()-X",0.25308441
"269",2,"walking downstairs","tBodyAcc-mean()-X",0.26156636
"270",2,"walking downstairs","tBodyAcc-mean()-X",0.31001933
"271",2,"walking downstairs","tBodyAcc-mean()-X",0.19842455
"272",2,"walking downstairs","tBodyAcc-mean()-X",0.22867274
"273",2,"walking downstairs","tBodyAcc-mean()-X",0.4228405
"274",2,"walking downstairs","tBodyAcc-mean()-X",0.28711862
"275",2,"walking downstairs","tBodyAcc-mean()-X",0.10222138
"276",2,"walking downstairs","tBodyAcc-mean()-X",0.21485672
"277",2,"walking downstairs","tBodyAcc-mean()-X",0.46767458
"278",2,"walking downstairs","tBodyAcc-mean()-X",0.30835585
"279",2,"walking downstairs","tBodyAcc-mean()-X",0.29417901
"280",2,"walking upstairs","tBodyAcc-mean()-X",0.20731083
"281",2,"walking upstairs","tBodyAcc-mean()-X",0.36261593
"282",2,"walking upstairs","tBodyAcc-mean()-X",0.27816503
"283",2,"walking upstairs","tBodyAcc-mean()-X",0.2563942
"284",2,"walking upstairs","tBodyAcc-mean()-X",0.24683451
"285",2,"walking upstairs","tBodyAcc-mean()-X",0.29819093
"286",2,"walking upstairs","tBodyAcc-mean()-X",0.26963228
"287",2,"walking upstairs","tBodyAcc-mean()-X",0.19648111
"288",2,"walking upstairs","tBodyAcc-mean()-X",0.19518889
"289",2,"walking upstairs","tBodyAcc-mean()-X",0.24200036
"290",2,"walking upstairs","tBodyAcc-mean()-X",0.31856167
"291",2,"walking upstairs","tBodyAcc-mean()-X",0.28637788
"292",2,"walking upstairs","tBodyAcc-mean()-X",0.26149147
"293",2,"walking upstairs","tBodyAcc-mean()-X",0.25438287
"294",2,"walking upstairs","tBodyAcc-mean()-X",0.22326915
"295",2,"walking upstairs","tBodyAcc-mean()-X",0.21223054
"296",2,"walking upstairs","tBodyAcc-mean()-X",0.37772556
"297",2,"walking upstairs","tBodyAcc-mean()-X",0.36081239
"298",2,"walking upstairs","tBodyAcc-mean()-X",0.25631314
"299",2,"walking upstairs","tBodyAcc-mean()-X",0.26294232
"300",2,"walking upstairs","tBodyAcc-mean()-X",0.27685853
"301",2,"walking upstairs","tBodyAcc-mean()-X",0.24514236
"302",2,"walking upstairs","tBodyAcc-mean()-X",0.19783456
"303",4,"standing","tBodyAcc-mean()-X",0.19918776
"304",4,"standing","tBodyAcc-mean()-X",0.28638505
"305",4,"standing","tBodyAcc-mean()-X",0.30882643
"306",4,"standing","tBodyAcc-mean()-X",0.25756859
"307",4,"standing","tBodyAcc-mean()-X",0.25955873
"308",4,"standing","tBodyAcc-mean()-X",0.28314011
"309",4,"standing","tBodyAcc-mean()-X",0.26517313
"310",4,"standing","tBodyAcc-mean()-X",0.27008378
"311",4,"standing","tBodyAcc-mean()-X",0.28273831
"312",4,"standing","tBodyAcc-mean()-X",0.28113989
"313",4,"standing","tBodyAcc-mean()-X",0.28014898
"314",4,"standing","tBodyAcc-mean()-X",0.2817674
"315",4,"standing","tBodyAcc-mean()-X",0.2842585
"316",4,"standing","tBodyAcc-mean()-X",0.28260885
"317",4,"standing","tBodyAcc-mean()-X",0.27944946
"318",4,"standing","tBodyAcc-mean()-X",0.26896048
"319",4,"standing","tBodyAcc-mean()-X",0.33525867
"320",4,"standing","tBodyAcc-mean()-X",0.27186857
"321",4,"standing","tBodyAcc-mean()-X",0.28200991
"322",4,"standing","tBodyAcc-mean()-X",0.27568858
"323",4,"standing","tBodyAcc-mean()-X",0.26911817
"324",4,"standing","tBodyAcc-mean()-X",0.2734611
"325",4,"standing","tBodyAcc-mean()-X",0.27321225
"326",4,"standing","tBodyAcc-mean()-X",0.27596953
"327",4,"standing","tBodyAcc-mean()-X",0.27963328
"328",4,"standing","tBodyAcc-mean()-X",0.27581383
"329",4,"standing","tBodyAcc-mean()-X",0.27380433
"330",4,"standing","tBodyAcc-mean()-X",0.30611912
"331",4,"sitting","tBodyAcc-mean()-X",0.19014289
"332",4,"sitting","tBodyAcc-mean()-X",0.28846121
"333",4,"sitting","tBodyAcc-mean()-X",0.28155688
"334",4,"sitting","tBodyAcc-mean()-X",0.27685643
"335",4,"sitting","tBodyAcc-mean()-X",0.2770617
"336",4,"sitting","tBodyAcc-mean()-X",0.27513101
"337",4,"sitting","tBodyAcc-mean()-X",0.27728983
"338",4,"sitting","tBodyAcc-mean()-X",0.28017578
"339",4,"sitting","tBodyAcc-mean()-X",0.27581403
"340",4,"sitting","tBodyAcc-mean()-X",0.27255474
"341",4,"sitting","tBodyAcc-mean()-X",0.27805019
"342",4,"sitting","tBodyAcc-mean()-X",0.28852873
"343",4,"sitting","tBodyAcc-mean()-X",0.28055394
"344",4,"sitting","tBodyAcc-mean()-X",0.27796689
"345",4,"sitting","tBodyAcc-mean()-X",0.27539409
"346",4,"sitting","tBodyAcc-mean()-X",0.27175681
"347",4,"sitting","tBodyAcc-mean()-X",0.27410952
"348",4,"sitting","tBodyAcc-mean()-X",0.27799739
"349",4,"sitting","tBodyAcc-mean()-X",0.28118107
"350",4,"sitting","tBodyAcc-mean()-X",0.28084628
"351",4,"sitting","tBodyAcc-mean()-X",0.26870402
"352",4,"sitting","tBodyAcc-mean()-X",0.26830284
"353",4,"sitting","tBodyAcc-mean()-X",0.27751716
"354",4,"sitting","tBodyAcc-mean()-X",0.27872577
"355",4,"laying","tBodyAcc-mean()-X",0.051028466
"356",4,"laying","tBodyAcc-mean()-X",0.30861379
"357",4,"laying","tBodyAcc-mean()-X",0.23647975
"358",4,"laying","tBodyAcc-mean()-X",0.28035575
"359",4,"laying","tBodyAcc-mean()-X",0.27731664
"360",4,"laying","tBodyAcc-mean()-X",0.2771087
"361",4,"laying","tBodyAcc-mean()-X",0.27732543
"362",4,"laying","tBodyAcc-mean()-X",0.27748275
"363",4,"laying","tBodyAcc-mean()-X",0.27506732
"364",4,"laying","tBodyAcc-mean()-X",0.27642809
"365",4,"laying","tBodyAcc-mean()-X",0.27806382
"366",4,"laying","tBodyAcc-mean()-X",0.27674706
"367",4,"laying","tBodyAcc-mean()-X",0.28585883
"368",4,"laying","tBodyAcc-mean()-X",0.2733935
"369",4,"laying","tBodyAcc-mean()-X",0.28029271
"370",4,"laying","tBodyAcc-mean()-X",0.28978779
"371",4,"laying","tBodyAcc-mean()-X",0.32779551
"372",4,"laying","tBodyAcc-mean()-X",0.36526137
"373",4,"laying","tBodyAcc-mean()-X",0.25596857
"374",4,"laying","tBodyAcc-mean()-X",0.27825064
"375",4,"laying","tBodyAcc-mean()-X",0.28369547
"376",4,"laying","tBodyAcc-mean()-X",0.27322234
"377",4,"laying","tBodyAcc-mean()-X",0.274189
"378",4,"laying","tBodyAcc-mean()-X",0.28222232
"379",4,"laying","tBodyAcc-mean()-X",0.27869661
"380",4,"laying","tBodyAcc-mean()-X",0.28055182
"381",4,"laying","tBodyAcc-mean()-X",0.27475392
"382",4,"laying","tBodyAcc-mean()-X",0.27684005
"383",4,"laying","tBodyAcc-mean()-X",0.27710557
"384",4,"laying","tBodyAcc-mean()-X",0.2924326
"385",4,"walking","tBodyAcc-mean()-X",0.30915404
"386",4,"walking","tBodyAcc-mean()-X",0.26093585
"387",4,"walking","tBodyAcc-mean()-X",0.28996373
"388",4,"walking","tBodyAcc-mean()-X",0.27368944
"389",4,"walking","tBodyAcc-mean()-X",0.25883749
"390",4,"walking","tBodyAcc-mean()-X",0.34684312
"391",4,"walking","tBodyAcc-mean()-X",0.26158945
"392",4,"walking","tBodyAcc-mean()-X",0.2484134
"393",4,"walking","tBodyAcc-mean()-X",0.25553983
"394",4,"walking","tBodyAcc-mean()-X",0.27320412
"395",4,"walking","tBodyAcc-mean()-X",0.31831507
"396",4,"walking","tBodyAcc-mean()-X",0.25520113
"397",4,"walking","tBodyAcc-mean()-X",0.28671326
"398",4,"walking","tBodyAcc-mean()-X",0.26112918
"399",4,"walking","tBodyAcc-mean()-X",0.25694564
"400",4,"walking","tBodyAcc-mean()-X",0.34234961
"401",4,"walking","tBodyAcc-mean()-X",0.26227824
"402",4,"walking","tBodyAcc-mean()-X",0.2693487
"403",4,"walking","tBodyAcc-mean()-X",0.28833576
"404",4,"walking","tBodyAcc-mean()-X",0.28550945
"405",4,"walking","tBodyAcc-mean()-X",0.26413773
"406",4,"walking","tBodyAcc-mean()-X",0.26884884
"407",4,"walking","tBodyAcc-mean()-X",0.31756167
"408",4,"walking","tBodyAcc-mean()-X",0.27050501
"409",4,"walking","tBodyAcc-mean()-X",0.24916439
"410",4,"walking","tBodyAcc-mean()-X",0.27243408
"411",4,"walking","tBodyAcc-mean()-X",0.32498849
"412",4,"walking","tBodyAcc-mean()-X",0.24362795
"413",4,"walking","tBodyAcc-mean()-X",0.2604804
"414",4,"walking","tBodyAcc-mean()-X",0.28402036
"415",4,"walking","tBodyAcc-mean()-X",0.27672301
"416",4,"walking downstairs","tBodyAcc-mean()-X",0.32860731
"417",4,"walking downstairs","tBodyAcc-mean()-X",0.22999415
"418",4,"walking downstairs","tBodyAcc-mean()-X",0.3416868
"419",4,"walking downstairs","tBodyAcc-mean()-X",0.16422959
"420",4,"walking downstairs","tBodyAcc-mean()-X",0.29353396
"421",4,"walking downstairs","tBodyAcc-mean()-X",0.22827325
"422",4,"walking downstairs","tBodyAcc-mean()-X",0.30233239
"423",4,"walking downstairs","tBodyAcc-mean()-X",0.3172964
"424",4,"walking downstairs","tBodyAcc-mean()-X",0.37374556
"425",4,"walking downstairs","tBodyAcc-mean()-X",0.28426048
"426",4,"walking downstairs","tBodyAcc-mean()-X",0.14957067
"427",4,"walking downstairs","tBodyAcc-mean()-X",0.22200404
"428",4,"walking downstairs","tBodyAcc-mean()-X",0.21602107
"429",4,"walking downstairs","tBodyAcc-mean()-X",0.26857249
"430",4,"walking downstairs","tBodyAcc-mean()-X",0.48249021
"431",4,"walking downstairs","tBodyAcc-mean()-X",0.32140238
"432",4,"walking downstairs","tBodyAcc-mean()-X",0.21088246
"433",4,"walking downstairs","tBodyAcc-mean()-X",0.17856694
"434",4,"walking downstairs","tBodyAcc-mean()-X",0.23349642
"435",4,"walking downstairs","tBodyAcc-mean()-X",0.27473751
"436",4,"walking downstairs","tBodyAcc-mean()-X",0.26728659
"437",4,"walking downstairs","tBodyAcc-mean()-X",0.34839724
"438",4,"walking downstairs","tBodyAcc-mean()-X",0.33398592
"439",4,"walking upstairs","tBodyAcc-mean()-X",0.36323991
"440",4,"walking upstairs","tBodyAcc-mean()-X",0.21150956
"441",4,"walking upstairs","tBodyAcc-mean()-X",0.14028257
"442",4,"walking upstairs","tBodyAcc-mean()-X",0.30833231
"443",4,"walking upstairs","tBodyAcc-mean()-X",0.30127859
"444",4,"walking upstairs","tBodyAcc-mean()-X",0.33356457
"445",4,"walking upstairs","tBodyAcc-mean()-X",0.24842031
"446",4,"walking upstairs","tBodyAcc-mean()-X",0.17402448
"447",4,"walking upstairs","tBodyAcc-mean()-X",0.33903608
"448",4,"walking upstairs","tBodyAcc-mean()-X",0.36579586
"449",4,"walking upstairs","tBodyAcc-mean()-X",0.23488534
"450",4,"walking upstairs","tBodyAcc-mean()-X",0.17290917
"451",4,"walking upstairs","tBodyAcc-mean()-X",0.24966739
"452",4,"walking upstairs","tBodyAcc-mean()-X",0.37154184
"453",4,"walking upstairs","tBodyAcc-mean()-X",0.38604971
"454",4,"walking upstairs","tBodyAcc-mean()-X",0.27420703
"455",4,"walking upstairs","tBodyAcc-mean()-X",0.24881813
"456",4,"walking upstairs","tBodyAcc-mean()-X",0.28987434
"457",4,"walking upstairs","tBodyAcc-mean()-X",0.27175142
"458",4,"walking upstairs","tBodyAcc-mean()-X",0.25342313
"459",4,"walking upstairs","tBodyAcc-mean()-X",0.33411519
"460",4,"walking upstairs","tBodyAcc-mean()-X",0.34863245
